id,type,page_num,confidence,parsing_notes,content_preview
2023-s-1,solve,1,0.5,自动解析，需要人工审核,2023 数学一 2023 年数学一试题 一、选择题（1~10 小题，每小题5 分，共50 分.下列每题给出的四个选项中， 只有一个选项时最符合题目要求的.）...
2023-c-2,choice,1,0.5,自动解析，需要人工审核,(1)曲线 的斜渐近线为...
2023-c-3,choice,1,0.7,自动解析，需要人工审核,(2)若微分方程 的解在 上有界，则...
2023-c-4,choice,1,0.5,自动解析，需要人工审核,(3)设函数 是由 确定，则...
2023-c-5,choice,1,0.5,自动解析，需要人工审核,(4)已知 ，若 都收敛，则“ 绝对收敛”是“ 绝对收敛”的...
2023-c-6,choice,1,0.7,自动解析，需要人工审核,(5) 已知 阶矩阵 满足 ， 是 阶单位矩阵，记矩阵 的秩分别为 ，则...
2023-c-7,choice,1,0.7,自动解析，需要人工审核,(6)下列矩阵中不能相似于对角矩阵的是...
2023-b-1,blank,2,0.5,自动解析，需要人工审核,(11)当 时，函数 与 是等价无穷小，则 ________. ...
2023-b-2,blank,2,0.5,自动解析，需要人工审核,(12)曲面 在点 处的切平面方程为_______....
2023-b-1,blank,3,0.5,自动解析，需要人工审核,(13) 设 是周期为 2 的周期函数，且 ，若 ，则 ________. ...
2023-b-2,blank,3,0.5,自动解析，需要人工审核,(14) 设连续函数 满足 ，则 ________. ...
2023-b-3,blank,3,0.5,自动解析，需要人工审核,(15)已知向量 ，若 ，则 _______. ...
2023-b-4,blank,3,0.7,自动解析，需要人工审核,(16) 设随机变量 相互独立，且 ，则 ________. 三、解答题（17~22 小题，共70 分.解答应写出文字说明、证明过程或演算 步骤.） ...
2023-s-5,solve,3,0.5,自动解析，需要人工审核,(18)（本题满分12 分） 求函数 的极值....
2023-s-1,solve,4,0.5,自动解析，需要人工审核,(19)（本题满分12 分） 设空间有界区域 由柱面 与平面 和 围成，为 边界的外侧， 计算曲面积分 ....
2023-s-2,solve,4,0.5,自动解析，需要人工审核,(21)（本题满分12 分） 已 知 二 次 型 ， ....
2023-s-1,solve,5,0.5,自动解析，需要人工审核,2023 数学一 (I)求可逆变换 ，将 化为 ； (II)是否存在正交变换 将 化为 ....
2023-s-2,solve,5,0.7,自动解析，需要人工审核,(22)（本题满分12 分） 设二维随机变量 的概率密度为 . (I)求 与 的协方差； (II) 与 是否相互独立？ (III)求 的概率密度....
