id,type,page_num,confidence,parsing_notes,content_preview
1987-s-1,solve,1,0.5,自动解析，需要人工审核,"1987-2009 真题汇总 【编者注】1987年到1996年的数学试卷 I , II 均为现在的数学一． 一..."
1987-s-1,solve,2,0.5,自动解析，需要人工审核,(2)当X= 时，函数y= x2 x 取得极小值...
1987-s-1,solve,3,0.7,自动解析，需要人工审核,(1)设在一次试验中，事件A发生的概率为p.现进行n次独立试验，则A至少发生一次的概率为 ；而事件A至多发生一次的概率为...
1987-s-2,solve,3,0.5,自动解析，需要人工审核,(2)三个箱子，第一个箱子中有4个黑球1个臼球，第二个箱子中有3个黑球3个自球，第三个箱子 中有3个黑球5个自球现随机地取一个箱子，再从这个箱子中取出1个球，这个球为自球的概...
1987-s-1,solve,4,0.7,自动解析，需要人工审核,1987年真题 率等于 ．已知取出的球是自球，此球属于第二个箱子的概率为 ．...
1987-s-2,solve,5,0.5,自动解析，需要人工审核,(7) = ....
1987-s-1,solve,6,0.5,自动解析，需要人工审核,1988年真题...
1987-c-2,choice,6,0.7,自动解析，需要人工审核,(4)若I an (x -I) n 在X = -I处收敛，则此级数在X = 2 处（ ） n = I...
1987-c-3,choice,6,0.5,自动解析，需要人工审核,"(5) n维向最组a1 ,a2 '…，a, (3 ::::; s ::::; n)线性无关的充分必要条件是（ ）..."
1987-s-1,solve,7,0.7,自动解析，需要人工审核,(1)设三次独立试验中，事件A出现的概率相等．若已知A至少出现一次的概率等于—，则事件A在 27 一次试验中出现的概率为 6...
1987-s-2,solve,7,0.5,自动解析，需要人工审核,(1)【同试卷I 第四题】 4 2...
1987-s-3,solve,7,0.5,自动解析，需要人工审核,(2)计算二次积分J dx J sin 空dy + J 叫sin 空dy. 石 2y 2 石 2y X 6...
1987-s-1,solve,8,0.5,自动解析，需要人工审核,(1)已知f '...
1987-s-2,solve,8,0.5,自动解析，需要人工审核,(3) h----+O 2h...
1987-s-1,solve,9,0.7,自动解析，需要人工审核,(1) 1 、 入为A的特征值； IA I...
1987-s-1,solve,10,0.7,自动解析，需要人工审核,(2)甲、乙两人独立地对同一目标射击一次，其命中率分别为0.6和0.5. 现已知目标被命中，则它 是甲射中的概率为...
1987-s-2,solve,10,0.5,自动解析，需要人工审核,(1)【同试卷I 第四题】...
1987-s-3,solve,10,0.5,自动解析，需要人工审核,"(2)求八分之一的球面x 2 + y 2 + z 2 = R2 , x±0 , y±0, z±0的边界曲线的重心，设曲线的线密度 p = I...."
1987-s-1,solve,11,0.5,自动解析，需要人工审核,(4)积分L dx l e -r 2 dy的值等于...
1987-s-2,solve,12,0.5,自动解析，需要人工审核,(1)求r In (1 + X) dx . 。 (2 - x) 扩z...
1987-s-3,solve,12,0.7,自动解析，需要人工审核,"(2)设z = f (2x - y, ysin x) , 其中八u,v)具有连续的二阶偏导数，求a垃y""..."
1987-s-1,solve,13,0.5,自动解析，需要人工审核,(1)【同试卷I 第四题】...
1987-s-1,solve,14,0.5,自动解析，需要人工审核,"(1)设{x=l+t ,则d y = . y = cost, dx2..."
1987-s-2,solve,14,0.5,自动解析，需要人工审核,"(3)已知两条直线的方程是L卢 X - I = y -2 = z -3 ,L2 : X + 2 = y -I 1 0 -1 2 1 ＝三，则过L1 且平行于 1 L2的平面方程是..."
1987-s-1,solve,15,0.7,自动解析，需要人工审核,"(1)若随机变量X服从均值为2, 方差为矿的正态分布，且Pj 2 < X < 4 l = 0. 3 , 则PjX<O! =..."
1987-s-1,solve,18,0.5,自动解析，需要人工审核,(1)求lim e -sm x -l x---->O 1 -尸．...
1987-s-3,solve,18,0.5,自动解析，需要人工审核,"(1)将P 用f1 ,f 2 ,f 3 线性表出；..."
1987-s-1,solve,19,0.5,自动解析，需要人工审核,(1)【同试卷I 第三、...
1987-s-2,solve,19,0.5,自动解析，需要人工审核,(1)题】...
1987-s-3,solve,19,0.5,自动解析，需要人工审核,(2)【同试卷I 第三、...
1987-s-4,solve,19,0.5,自动解析，需要人工审核,(2)题】...
1987-s-6,solve,19,0.5,自动解析，需要人工审核,(1)【同试卷I 第四题】...
1987-s-1,solve,21,0.5,自动解析，需要人工审核,(2)求f xe dx. 尸...
1987-s-1,solve,22,0.7,自动解析，需要人工审核,(1) 一批产品共有10个正品和2个次品，任意抽取两次，每次抽一个，抽出后不再放回，则第二次抽 出的是次品的概率为...
1987-s-2,solve,22,0.7,自动解析，需要人工审核,(2)求X与I 们的协方差，并问X与飞I 是否不相关？...
1987-s-4,solve,22,0.5,自动解析，需要人工审核,(2)【同试卷I 第四题】...
1987-s-2,solve,23,0.5,自动解析，需要人工审核,(1) lim cot x (. 1 - +) = x刊 Slll X...
1987-s-3,solve,23,0.5,自动解析，需要人工审核,"(2)曲面z - e'+ 2xy = 3在点(1,2,0)处的切平面方程为..."
1987-s-4,solve,23,0.5,自动解析，需要人工审核,(3)设u = e 六sinÇ'则a:;Y在点(2上）处的值为...
1987-s-5,solve,23,0.5,自动解析，需要人工审核,"(4)设区域D为x2 + y 2 ::::; R 2, 则』( 十È)dxdy =..."
1987-c-7,choice,23,0.5,自动解析，需要人工审核,"(1)设M = 2 cos4xdx ,N =号(sin3x + cos4x)dx,P = f子(x2sin3x - cos4x)dx, 则有（ ） 号1 + X..."
1987-c-8,choice,23,0.7,自动解析，需要人工审核,"(2)二元函数八x,y)在点(x。,y。)处两个偏导数fx'(x。,y。) ，J;(x。,y。)存在是八x,y)在该点连续的 （ ）..."
1987-c-9,choice,23,0.7,自动解析，需要人工审核,(3)设常数入> 0'且级数三正收敛，则级数I<-1) n < ) I an I n=l n=l «+A...
1987-c-10,choice,23,0.5,自动解析，需要人工审核,"(4) lim atan x + b(I - cos x) = 2, 其中a2 + c2 =ft O, 则必有（ x---->() cln (I - 2x) + d (I - e 一 x2 )..."
1987-c-11,choice,23,0.5,自动解析，需要人工审核,(5)已知向量组ll'1 年也立线性无关，则向量组（...
1987-s-1,solve,24,0.5,自动解析，需要人工审核,"(0)= 0, f'..."
1987-s-1,solve,25,0.5,自动解析，需要人工审核,(2)求X与Z的相关系数Pxz;...
1987-s-3,solve,25,0.5,自动解析，需要人工审核,(1)在椭圆x 2 + 4y2 = 4上求一点，使其到直线2x + 3y -6 = 0的距离最短...
1987-s-2,solve,26,0.5,自动解析，需要人工审核,(0) > f...
1987-s-3,solve,26,0.5,自动解析，需要人工审核,(1) -f...
1987-s-4,solve,26,0.5,自动解析，需要人工审核,(1) -f...
1987-s-5,solve,26,0.5,自动解析，需要人工审核,(0) > f'...
1987-s-6,solve,26,0.5,自动解析，需要人工审核,(1) > f'...
1987-s-1,solve,27,0.5,自动解析，需要人工审核,"(1)计算曲面积分ff zdS, 其中2为锥面z=五了三了在柱体x 2 + y 2 ::::; 2x内的部分．..."
1987-s-1,solve,28,0.5,自动解析，需要人工审核,(1)【同试卷I 第三、...
1987-s-2,solve,28,0.5,自动解析，需要人工审核,(1)题】...
1987-s-3,solve,28,0.5,自动解析，需要人工审核,(2)求曲面z = 王+y2平行于平面2x + 2y - z = 0的切平面方程 2...
1987-s-1,solve,29,0.5,自动解析，需要人工审核,"(1)设 F : :: : :: : x H1I 1 , x 1 + 2x 2 + 3x 4 = 3 , 问a为何值时方程组有解，并在有解时求出方程组的通解．..."
1987-s-1,solve,30,0.7,自动解析，需要人工审核,"(3)微分方程y ""- 2y '+ 2y = e 无的通解为 ．..."
1987-s-1,solve,31,0.5,自动解析，需要人工审核,历年考研数学真题解析及复习思路（数学一） a1 0 0 b1...
1987-c-2,choice,31,0.7,自动解析，需要人工审核,(5)四阶行列式 0 a2 b2 0 0 b3 a3 0 的值等于（ b4 0 0 a4...
1987-s-3,solve,31,0.5,自动解析，需要人工审核,(1)求心形线r = a(1 + cos 0)的全长，其中a > 0是常数...
1987-s-5,solve,31,0.5,自动解析，需要人工审核,"(1)计算曲面积分』(2x+ z) dydz + zdxdy, 其中S为有向曲面z = x2 十y2(0 ::::;; z :::;; 1)' 其法向掀与 z轴正向的夹角为锐角．..."
1987-s-7,solve,31,0.5,自动解析，需要人工审核,(1)写出f(x)在点X = C处带拉格朗日型余项的一阶泰勒公式；...
1987-s-1,solve,32,0.7,自动解析，需要人工审核,(1)求参数c及此二次型对应矩阵的特征值；...
1987-s-2,solve,32,0.7,自动解析，需要人工审核,(1)设工厂A和工厂B的产品的次品率分别为1%和2%'现从巾A厂和B厂的产品分别占60% 和40%的一批产品中随机抽取一件，发现是次品，则该次品是A厂生产的概率是 ． 1 2...
