id,type,page_num,confidence,parsing_notes,content_preview
2019-s-1,solve,33,0.5,自动解析，需要人工审核,(2)B....
2019-s-2,solve,33,0.5,自动解析，需要人工审核,(3)D....
2019-s-3,solve,33,0.5,自动解析，需要人工审核,(4)D....
2019-s-4,solve,33,0.5,自动解析，需要人工审核,(5)C....
2019-s-5,solve,33,0.5,自动解析，需要人工审核,(6)A....
2019-s-6,solve,33,0.5,自动解析，需要人工审核,(7)C....
2019-s-7,solve,33,0.5,自动解析，需要人工审核,(8)A. 二、填空题...
2019-s-8,solve,33,0.5,自动解析，需要人工审核,(9) y + X •...
2019-s-9,solve,33,0.5,自动解析，需要人工审核,(10) 氐三...
2019-s-10,solve,33,0.5,自动解析，需要人工审核,(11) cos五...
2019-s-11,solve,33,0.5,自动解析，需要人工审核,(12) 旱....
2019-s-12,solve,33,0.5,自动解析，需要人工审核,(14)½· COS X COS y 三、解答题 x2...
2019-s-13,solve,33,0.5,自动解析，需要人工审核,(17) 1 1 —+ 2 矿-I °...
