id,type,page_num,confidence,parsing_notes,content_preview
2009-s-1,solve,23,0.5,自动解析，需要人工审核,(1)A....
2009-s-2,solve,23,0.5,自动解析，需要人工审核,(2)A. 二、填空题...
2009-s-3,solve,23,0.5,自动解析，需要人工审核,(3)D....
2009-s-4,solve,23,0.5,自动解析，需要人工审核,(9)xf'卢＋八+x计＇分...
2009-s-5,solve,23,0.5,自动解析，需要人工审核,(4) C....
2009-s-6,solve,23,0.5,自动解析，需要人工审核,(5)A....
2009-s-7,solve,23,0.5,自动解析，需要人工审核,(10) -x e x + X + 2....
2009-s-8,solve,23,0.5,自动解析，需要人工审核,(6) B. 13...
2009-s-9,solve,23,0.5,自动解析，需要人工审核,(11)—. 6...
2009-s-10,solve,23,0.5,自动解析，需要人工审核,(7) C....
2009-s-11,solve,23,0.5,自动解析，需要人工审核,(8) B....
2009-s-12,solve,23,0.5,自动解析，需要人工审核,(12) 4 —1T. 15...
2009-s-13,solve,23,0.5,自动解析，需要人工审核,(13)2....
2009-s-14,solve,23,0.5,自动解析，需要人工审核,(14) -1. 三、解答题 1...
2009-s-15,solve,23,0.5,自动解析，需要人工审核,(16)S1 = ½ 心= l ln 2. e 2 y 2 立 1...
2009-s-16,solve,23,0.5,自动解析，需要人工审核,(18)证明略．...
2009-s-17,solve,23,0.5,自动解析，需要人工审核,(19) / = 4'7T....
2009-s-18,solve,23,0.5,自动解析，需要人工审核,(21)...
2009-s-1,solve,24,0.5,自动解析，需要人工审核,: 8 * ( : 8 * ( : 8 9 9 9 99 * ( ) ) ) )) 1 淘宝店铺：筑梦教育...
2009-s-1,solve,25,0.5,自动解析，需要人工审核,: 8 9 99 * ( ) )) 2 淘宝店铺：筑梦教育...
2009-s-1,solve,26,0.5,自动解析，需要人工审核,: 8 9 9 9 9 9 99 * ( ) ) ) ) ) )) 3 淘宝店铺：筑梦教育...
2009-s-1,solve,27,0.5,自动解析，需要人工审核,: 8 * ( : 8 * ( : 8 * ( : 8 9 * ( ) 4 2 3 1 1 11 4 淘宝店铺：筑梦教育...
2009-s-1,solve,28,0.5,自动解析，需要人工审核,: 8 9 9 9 99 * ( ) ) ) )) 4 2 3 1 1 11 1 1 11 5 淘宝店铺：筑梦教育...
2009-s-1,solve,29,0.5,自动解析，需要人工审核,: 8 9 99 * ( ) )) : 8 9 99 * ( ) )) : 8 * ( 6 淘宝店铺：筑梦教育...
2009-s-1,solve,30,0.5,自动解析，需要人工审核,: 8 9 9 * ( ) ) : 8 9 99 * ( ) )) : 8 9 9 9 99 * ( ) ) ) )) : 8 9 99 * ( ) )) 4 2 3 1 1 1 1 11 7 淘宝店...
2009-s-1,solve,31,0.5,自动解析，需要人工审核,: 8 9 9 9 9 9 99 * ( ) ) ) ) ) )) 4 2 3 11 11 4 2 3 11 11 8 淘宝店铺：筑梦教育...
2009-s-1,solve,32,0.5,自动解析，需要人工审核,: 8 9 99 * ( ) )) 4 2 3 1 11 1 11 9 淘宝店铺：筑梦教育...
